name,amount,deadline,description,tags,eligibility,url,source
American Indian College Fund Scholarship,$5000 - $10000,2025-05-31,Scholarships for Native American students attending tribal colleges and mainstream universities. Multiple scholarship programs available.,undergraduate;college;tribal-colleges;need-based,Enrolled member of federally recognized tribe;Minimum 2.0 GPA;Full-time enrollment,https://collegefund.org/students/scholarships/,American Indian College Fund
Catching the Dream Scholarship,$1000 - $5000,2025-04-15,Scholarships for Native American students pursuing degrees in business, education, engineering, science, and health fields.,undergraduate;graduate;STEM;business;education,Native American heritage;Minimum 3.0 GPA;Pursuing specific degree fields,https://www.catchingthedream.org/scholarships/,Catching the Dream
Gates Millennium Scholars Program,Full tuition,2025-01-15,Full scholarship for outstanding minority students including Native Americans pursuing undergraduate and graduate degrees.,undergraduate;graduate;full-tuition;competitive,Outstanding academic achievement;Leadership;Community service;Financial need,https://www.gmsp.org,Bill & Melinda Gates Foundation
Cherokee Nation Higher Education Scholarship,Varies,Rolling,Comprehensive scholarship program for Cherokee Nation citizens pursuing post-secondary education.,undergraduate;graduate;vocational;tribal;rolling-deadline,Cherokee Nation citizen;Enrolled at accredited institution,https://www.cherokee.org/all-services/education/higher-education/,Cherokee Nation
Cobell Scholarship,$2000 - $40000,2025-04-30,Need-based scholarship for Native American students pursuing undergraduate or graduate degrees with emphasis on STEM business and natural resources.,undergraduate;graduate;STEM;business;need-based,Enrolled member of federally recognized tribe;Minimum 2.5 GPA;Demonstrate financial need;Full-time enrollment,https://www.cobellscholar.org,Cobell Education Scholarship Fund
National Indian Education Association Scholarships,$1000 - $3000,2025-03-15,Multiple scholarships for Native students at all education levels including K-12 undergraduate and graduate.,K-12;undergraduate;graduate;education,Native American heritage;NIEA membership,https://www.niea.org/scholarships,NIEA
Sequoyah Fellowship for Graduate Students,$7500 - $25000,2025-02-01,Prestigious fellowship for Native American graduate students pursuing advanced degrees in any field.,graduate;PhD;masters;research,Enrolled tribal member;Admitted to graduate program;Strong academic record;Research or career goals benefit Native communities,https://www.sequoyahfellowship.org,Sequoyah Foundation
Native Forward Scholars Fund,$500 - $5000,,Rolling scholarship for Native students attending tribal colleges covering tuition books and living expenses.,tribal-college;undergraduate;rolling-deadline,Enrolled tribal member;Attending tribal college;Financial need,https://nativescholars.org,Native Forward
Wells Fargo American Indian Scholarship,$2500 - $5000,2025-05-31,Scholarships for Native American students with career interests in banking resort management gaming operations and tribal management.,business;banking;gaming;management;undergraduate,Enrolled tribal member;Minimum 2.5 GPA;Pursuing relevant degree,https://www.wellsfargo.com/about/diversity/scholarships-education,Wells Fargo
Truman D. Picard Scholarship,$2000,2025-02-28,Scholarship for Native students studying natural resources forestry wildlife management or related fields.,natural-resources;forestry;wildlife;environmental;undergraduate;graduate,Enrolled tribal member;Majoring in natural resources field;Minimum 2.0 GPA,https://www.itcnet.org/issues_projects/issues_2/scholarships.html,Intertribal Timber Council
American Indian Graduate Center Scholarship Program,$1500 - $2500,2025-04-01,Scholarships for American Indian students pursuing graduate degrees in any field with preference for education and social work.,graduate;education;social-work;masters;PhD,Native American heritage;Enrolled in graduate program;Minimum 3.0 GPA,https://www.aigcs.org/scholarships,American Indian Graduate Center
Hopi Education Endowment Fund,Varies,,Educational grants for Hopi tribal members at all education levels from K-12 through graduate school.,tribal;K-12;undergraduate;graduate;rolling-deadline,Enrolled Hopi tribal member;Demonstrate financial need,https://www.hopieducationfund.org,Hopi Tribe
Navajo Nation Scholarship,Varies,,Comprehensive scholarship program for Navajo Nation members pursuing post-secondary education.,tribal;undergraduate;graduate;vocational;rolling-deadline,Enrolled Navajo Nation member;Minimum 2.5 GPA;Financial need,https://www.onnsfa.org,Navajo Nation
Native Health Career Pathway Scholarship,$1000 - $10000,2025-03-31,Scholarships for Native students pursuing careers in healthcare including nursing medicine dentistry and public health.,healthcare;medical;nursing;dentistry;public-health;undergraduate;graduate,Native American or Alaska Native;Enrolled in healthcare program;Commitment to serve Native communities,https://www.nativehealthcareer.org,Native Health Workforce
AISES Scholarships,$1000 - $5000,2025-05-15,Multiple scholarships for Native American students pursuing degrees in STEM fields (science technology engineering and mathematics).,STEM;undergraduate;graduate;science;engineering;technology;mathematics,Native American heritage;AISES membership;STEM major;Minimum 3.0 GPA,https://www.aises.org/scholarships,American Indian Science and Engineering Society
